Cloudlet ID,STATUS,Data centerID,VM ID,Tim,Start Time,Finish Time
1,SUCCESS,3,1,0.11,0.1,0.21
2,SUCCESS,4,4,0.11,0.1,0.21
8,SUCCESS,5,8,0.21,0.1,0.31
5,SUCCESS,3,2,0.22,0.1,0.32
7,SUCCESS,4,6,0.22,0.1,0.32
10,SUCCESS,5,9,0.32,0.1,0.42
9,SUCCESS,4,4,0.22,0.21,0.43
4,SUCCESS,4,5,0.33,0.1,0.43
11,SUCCESS,3,1,0.23,0.21,0.44
3,SUCCESS,5,7,0.43,0.1,0.53
14,SUCCESS,3,2,0.23,0.32,0.55
6,SUCCESS,3,3,0.45,0.1,0.55
12,SUCCESS,4,6,0.27,0.32,0.59
20,SUCCESS,3,1,0.22,0.44,0.66
17,SUCCESS,5,9,0.24,0.42,0.67
19,SUCCESS,4,4,0.27,0.43,0.7
23,SUCCESS,3,3,0.29,0.55,0.84
22,SUCCESS,5,7,0.33,0.53,0.86
21,SUCCESS,4,6,0.28,0.59,0.86
26,SUCCESS,3,1,0.29,0.66,0.95
24,SUCCESS,4,4,0.27,0.7,0.97
15,SUCCESS,4,5,0.54,0.43,0.97
13,SUCCESS,5,8,0.71,0.31,1.02
16,SUCCESS,3,2,0.51,0.55,1.06
31,SUCCESS,5,7,0.29,0.86,1.15
32,SUCCESS,4,6,0.31,0.86,1.17
28,SUCCESS,3,3,0.33,0.84,1.17
42,SUCCESS,4,6,0.11,1.17,1.28
33,SUCCESS,3,1,0.33,0.95,1.28
35,SUCCESS,4,4,0.42,0.97,1.39
30,SUCCESS,3,2,0.33,1.06,1.39
36,SUCCESS,3,3,0.33,1.17,1.5
27,SUCCESS,4,5,0.56,0.97,1.53
18,SUCCESS,5,9,0.87,0.67,1.54
39,SUCCESS,3,2,0.22,1.39,1.61
43,SUCCESS,4,6,0.36,1.28,1.64
40,SUCCESS,5,7,0.5,1.15,1.65
25,SUCCESS,5,8,0.63,1.02,1.65
44,SUCCESS,3,1,0.44,1.28,1.72
41,SUCCESS,3,3,0.22,1.5,1.72
46,SUCCESS,4,4,0.36,1.39,1.75
38,SUCCESS,4,5,0.33,1.53,1.86
56,SUCCESS,3,1,0.18,1.72,1.9
51,SUCCESS,5,7,0.31,1.65,1.96
55,SUCCESS,4,4,0.22,1.75,1.97
50,SUCCESS,3,3,0.29,1.72,2.01
61,SUCCESS,4,4,0.11,1.97,2.08
52,SUCCESS,4,6,0.44,1.64,2.08
29,SUCCESS,5,9,0.56,1.54,2.1
47,SUCCESS,3,2,0.51,1.61,2.12
60,SUCCESS,5,7,0.25,1.96,2.21
63,SUCCESS,4,6,0.13,2.08,2.21
64,SUCCESS,3,1,0.33,1.9,2.23
34,SUCCESS,5,8,0.67,1.65,2.32
53,SUCCESS,3,3,0.33,2.01,2.34
65,SUCCESS,4,4,0.3,2.08,2.39
70,SUCCESS,5,7,0.22,2.21,2.43
77,SUCCESS,3,1,0.22,2.23,2.45
49,SUCCESS,4,5,0.63,1.86,2.5
71,SUCCESS,4,6,0.28,2.21,2.5
37,SUCCESS,5,9,0.44,2.1,2.54
87,SUCCESS,3,1,0.11,2.45,2.56
59,SUCCESS,3,2,0.44,2.12,2.56
67,SUCCESS,3,3,0.22,2.34,2.56
79,SUCCESS,4,4,0.24,2.39,2.63
92,SUCCESS,3,1,0.12,2.56,2.68
75,SUCCESS,5,7,0.28,2.43,2.71
76,SUCCESS,4,6,0.24,2.5,2.74
74,SUCCESS,3,2,0.23,2.56,2.79
58,SUCCESS,4,5,0.35,2.5,2.85
95,SUCCESS,3,1,0.22,2.68,2.9
80,SUCCESS,3,2,0.11,2.79,2.9
97,SUCCESS,4,4,0.33,2.63,2.96
48,SUCCESS,5,8,0.66,2.32,2.98
69,SUCCESS,3,3,0.45,2.56,3.01
91,SUCCESS,5,7,0.38,2.71,3.09
90,SUCCESS,3,2,0.22,2.9,3.12
89,SUCCESS,4,6,0.4,2.74,3.14
57,SUCCESS,5,8,0.24,2.98,3.22
83,SUCCESS,3,3,0.24,3.01,3.24
68,SUCCESS,4,5,0.42,2.85,3.26
45,SUCCESS,5,9,0.81,2.54,3.35
106,SUCCESS,3,1,0.46,2.9,3.35
98,SUCCESS,3,2,0.24,3.12,3.35
93,SUCCESS,3,3,0.11,3.24,3.35
105,SUCCESS,4,4,0.42,2.96,3.37
108,SUCCESS,4,6,0.24,3.14,3.37
85,SUCCESS,4,5,0.22,3.26,3.48
114,SUCCESS,4,6,0.11,3.37,3.48
104,SUCCESS,5,7,0.39,3.09,3.48
100,SUCCESS,3,3,0.16,3.35,3.52
116,SUCCESS,4,6,0.11,3.48,3.59
112,SUCCESS,5,7,0.13,3.48,3.62
113,SUCCESS,3,1,0.27,3.35,3.63
88,SUCCESS,4,5,0.22,3.48,3.7
109,SUCCESS,3,2,0.43,3.35,3.78
118,SUCCESS,4,4,0.44,3.37,3.81
122,SUCCESS,4,6,0.22,3.59,3.81
129,SUCCESS,3,1,0.26,3.63,3.89
96,SUCCESS,4,5,0.22,3.7,3.92
66,SUCCESS,5,8,0.72,3.22,3.94
102,SUCCESS,3,3,0.48,3.52,4
130,SUCCESS,4,4,0.22,3.81,4.03
126,SUCCESS,4,6,0.22,3.81,4.03
121,SUCCESS,5,7,0.44,3.62,4.05
82,SUCCESS,5,8,0.11,3.94,4.05
117,SUCCESS,3,3,0.11,4,4.11
101,SUCCESS,4,5,0.22,3.92,4.14
54,SUCCESS,5,9,0.82,3.35,4.16
131,SUCCESS,3,1,0.33,3.89,4.22
120,SUCCESS,3,2,0.44,3.78,4.22
119,SUCCESS,3,3,0.11,4.11,4.22
140,SUCCESS,4,4,0.22,4.03,4.25
84,SUCCESS,5,8,0.25,4.05,4.3
133,SUCCESS,4,6,0.33,4.03,4.36
132,SUCCESS,5,7,0.36,4.05,4.41
146,SUCCESS,4,6,0.16,4.36,4.52
62,SUCCESS,5,9,0.37,4.16,4.53
142,SUCCESS,3,1,0.34,4.22,4.56
103,SUCCESS,4,5,0.49,4.14,4.63
72,SUCCESS,5,9,0.13,4.53,4.66
134,SUCCESS,3,2,0.45,4.22,4.67
141,SUCCESS,4,4,0.49,4.25,4.74
124,SUCCESS,3,3,0.56,4.22,4.78
73,SUCCESS,5,9,0.15,4.66,4.81
148,SUCCESS,4,6,0.33,4.52,4.85
138,SUCCESS,5,7,0.51,4.41,4.92
153,SUCCESS,3,1,0.41,4.56,4.97
154,SUCCESS,4,4,0.27,4.74,5.01
94,SUCCESS,5,8,0.73,4.3,5.03
170,SUCCESS,3,1,0.11,4.97,5.08
145,SUCCESS,3,2,0.41,4.67,5.08
160,SUCCESS,4,4,0.11,5.01,5.12
111,SUCCESS,4,5,0.49,4.63,5.12
78,SUCCESS,5,9,0.33,4.81,5.14
139,SUCCESS,3,3,0.42,4.78,5.2
166,SUCCESS,4,4,0.11,5.12,5.23
125,SUCCESS,4,5,0.11,5.12,5.23
156,SUCCESS,4,6,0.38,4.85,5.23
81,SUCCESS,5,9,0.16,5.14,5.31
174,SUCCESS,4,6,0.16,5.23,5.38
149,SUCCESS,3,3,0.21,5.2,5.41
152,SUCCESS,5,7,0.49,4.92,5.42
171,SUCCESS,3,1,0.44,5.08,5.52
158,SUCCESS,3,2,0.44,5.08,5.52
107,SUCCESS,5,8,0.49,5.03,5.53
178,SUCCESS,4,6,0.2,5.38,5.59
162,SUCCESS,5,7,0.22,5.42,5.64
167,SUCCESS,4,4,0.47,5.23,5.7
128,SUCCESS,4,5,0.47,5.23,5.7
168,SUCCESS,3,2,0.19,5.52,5.71
86,SUCCESS,5,9,0.44,5.31,5.75
188,SUCCESS,3,1,0.3,5.52,5.82
176,SUCCESS,3,2,0.11,5.71,5.82
151,SUCCESS,3,3,0.41,5.41,5.82
183,SUCCESS,4,4,0.14,5.7,5.84
169,SUCCESS,5,7,0.22,5.64,5.86
199,SUCCESS,3,1,0.11,5.82,5.93
186,SUCCESS,4,6,0.36,5.59,5.95
192,SUCCESS,4,4,0.22,5.84,6.06
179,SUCCESS,5,7,0.21,5.86,6.07
177,SUCCESS,3,2,0.26,5.82,6.09
115,SUCCESS,5,8,0.65,5.53,6.18
200,SUCCESS,3,1,0.26,5.93,6.2
137,SUCCESS,4,5,0.56,5.7,6.26
184,SUCCESS,5,7,0.22,6.07,6.29
161,SUCCESS,3,3,0.48,5.82,6.31
202,SUCCESS,4,4,0.31,6.06,6.37
197,SUCCESS,4,6,0.42,5.95,6.37
211,SUCCESS,3,1,0.22,6.2,6.42
214,SUCCESS,3,1,0.11,6.42,6.53
190,SUCCESS,3,2,0.44,6.09,6.53
99,SUCCESS,5,9,0.85,5.75,6.6
207,SUCCESS,4,4,0.26,6.37,6.63
180,SUCCESS,3,3,0.33,6.31,6.64
194,SUCCESS,5,7,0.42,6.29,6.71
212,SUCCESS,4,6,0.37,6.37,6.74
215,SUCCESS,3,1,0.22,6.53,6.75
150,SUCCESS,4,5,0.59,6.26,6.85
227,SUCCESS,4,6,0.11,6.74,6.85
185,SUCCESS,3,3,0.22,6.64,6.86
127,SUCCESS,5,8,0.73,6.18,6.9
159,SUCCESS,4,5,0.11,6.85,6.96
203,SUCCESS,3,2,0.44,6.53,6.97
195,SUCCESS,3,3,0.11,6.86,6.97
204,SUCCESS,5,7,0.3,6.71,7.01
143,SUCCESS,5,8,0.11,6.9,7.01
218,SUCCESS,4,4,0.44,6.63,7.07
163,SUCCESS,4,5,0.11,6.96,7.07
231,SUCCESS,4,6,0.22,6.85,7.07
224,SUCCESS,3,1,0.33,6.75,7.08
213,SUCCESS,5,7,0.15,7.01,7.16
236,SUCCESS,4,4,0.11,7.07,7.18
164,SUCCESS,4,5,0.11,7.07,7.18
221,SUCCESS,3,2,0.22,6.97,7.19
219,SUCCESS,5,7,0.11,7.16,7.27
241,SUCCESS,3,1,0.22,7.08,7.3
196,SUCCESS,3,3,0.33,6.97,7.3
172,SUCCESS,4,5,0.15,7.18,7.33
220,SUCCESS,5,7,0.12,7.27,7.39
245,SUCCESS,3,1,0.11,7.3,7.41
230,SUCCESS,3,2,0.22,7.19,7.41
238,SUCCESS,4,4,0.26,7.18,7.44
240,SUCCESS,4,6,0.37,7.07,7.44
225,SUCCESS,5,7,0.11,7.39,7.5
110,SUCCESS,5,9,0.9,6.6,7.5
249,SUCCESS,3,1,0.17,7.41,7.58
175,SUCCESS,4,5,0.29,7.33,7.62
208,SUCCESS,3,3,0.39,7.3,7.69
248,SUCCESS,4,4,0.29,7.44,7.73
182,SUCCESS,4,5,0.11,7.62,7.73
144,SUCCESS,5,8,0.73,7.01,7.74
256,SUCCESS,3,1,0.22,7.58,7.8
235,SUCCESS,3,2,0.39,7.41,7.8
254,SUCCESS,4,6,0.4,7.44,7.84
229,SUCCESS,5,7,0.35,7.5,7.85
217,SUCCESS,3,3,0.26,7.69,7.94
258,SUCCESS,4,4,0.23,7.73,7.96
246,SUCCESS,5,7,0.18,7.85,8.03
263,SUCCESS,3,1,0.26,7.8,8.05
228,SUCCESS,3,3,0.11,7.94,8.05
189,SUCCESS,4,5,0.34,7.73,8.07
269,SUCCESS,4,6,0.23,7.84,8.07
123,SUCCESS,5,9,0.64,7.5,8.14
252,SUCCESS,3,2,0.37,7.8,8.16
275,SUCCESS,4,6,0.11,8.07,8.18
155,SUCCESS,5,8,0.51,7.74,8.25
264,SUCCESS,4,4,0.33,7.96,8.29
232,SUCCESS,3,3,0.3,8.05,8.35
250,SUCCESS,5,7,0.33,8.03,8.36
135,SUCCESS,5,9,0.22,8.14,8.36
276,SUCCESS,4,4,0.11,8.29,8.4
193,SUCCESS,4,5,0.33,8.07,8.4
270,SUCCESS,3,1,0.41,8.05,8.46
267,SUCCESS,3,2,0.3,8.16,8.46
278,SUCCESS,4,6,0.33,8.18,8.51
262,SUCCESS,5,7,0.2,8.36,8.56
243,SUCCESS,3,3,0.22,8.35,8.57
285,SUCCESS,4,4,0.22,8.4,8.62
265,SUCCESS,5,7,0.11,8.56,8.67
286,SUCCESS,3,1,0.22,8.46,8.68
205,SUCCESS,4,5,0.33,8.4,8.73
289,SUCCESS,3,1,0.11,8.68,8.79
247,SUCCESS,3,3,0.22,8.57,8.79
165,SUCCESS,5,8,0.57,8.25,8.82
288,SUCCESS,4,4,0.22,8.62,8.84
290,SUCCESS,4,6,0.33,8.51,8.84
274,SUCCESS,3,2,0.44,8.46,8.9
299,SUCCESS,4,4,0.11,8.84,8.95
210,SUCCESS,4,5,0.22,8.73,8.95
136,SUCCESS,5,9,0.63,8.36,8.99
255,SUCCESS,3,3,0.22,8.79,9.01
268,SUCCESS,5,7,0.44,8.67,9.1
294,SUCCESS,3,1,0.33,8.79,9.12
287,SUCCESS,3,2,0.22,8.9,9.12
181,SUCCESS,5,8,0.39,8.82,9.21
303,SUCCESS,4,6,0.38,8.84,9.22
305,SUCCESS,3,1,0.13,9.12,9.26
300,SUCCESS,4,4,0.38,8.95,9.33
319,SUCCESS,4,6,0.11,9.22,9.33
292,SUCCESS,3,2,0.24,9.12,9.37
223,SUCCESS,4,5,0.49,8.95,9.44
259,SUCCESS,3,3,0.46,9.01,9.48
284,SUCCESS,5,7,0.42,9.1,9.53
321,SUCCESS,4,6,0.23,9.33,9.57
308,SUCCESS,3,1,0.33,9.26,9.59
311,SUCCESS,4,4,0.34,9.33,9.68
298,SUCCESS,5,7,0.16,9.53,9.68
302,SUCCESS,3,2,0.33,9.37,9.7
279,SUCCESS,3,3,0.33,9.48,9.81
233,SUCCESS,4,5,0.37,9.44,9.81
147,SUCCESS,5,9,0.89,8.99,9.88
318,SUCCESS,3,1,0.33,9.59,9.92
306,SUCCESS,3,2,0.22,9.7,9.92
324,SUCCESS,4,4,0.29,9.68,9.97
187,SUCCESS,5,8,0.78,9.21,9.99
331,SUCCESS,4,6,0.51,9.57,10.08
304,SUCCESS,5,7,0.42,9.68,10.1
338,SUCCESS,4,4,0.22,9.97,10.19
244,SUCCESS,4,5,0.38,9.81,10.19
282,SUCCESS,3,3,0.42,9.81,10.23
340,SUCCESS,4,4,0.11,10.19,10.3
343,SUCCESS,4,6,0.22,10.08,10.3
316,SUCCESS,5,7,0.21,10.1,10.32
329,SUCCESS,3,1,0.42,9.92,10.34
314,SUCCESS,3,2,0.42,9.92,10.34
351,SUCCESS,4,6,0.13,10.3,10.43
201,SUCCESS,5,8,0.51,9.99,10.5
326,SUCCESS,3,2,0.18,10.34,10.51
346,SUCCESS,4,4,0.24,10.3,10.54
251,SUCCESS,4,5,0.35,10.19,10.54
352,SUCCESS,4,4,0.11,10.54,10.65
260,SUCCESS,4,5,0.11,10.54,10.65
359,SUCCESS,4,6,0.22,10.43,10.65
296,SUCCESS,3,3,0.47,10.23,10.7
325,SUCCESS,5,7,0.41,10.32,10.72
367,SUCCESS,4,6,0.11,10.65,10.76
345,SUCCESS,3,1,0.47,10.34,10.81
157,SUCCESS,5,9,0.95,9.88,10.83
261,SUCCESS,4,5,0.24,10.65,10.89
356,SUCCESS,3,1,0.11,10.81,10.92
312,SUCCESS,3,3,0.22,10.7,10.92
337,SUCCESS,5,7,0.22,10.72,10.94
216,SUCCESS,5,8,0.44,10.5,10.94
354,SUCCESS,4,4,0.35,10.65,11
335,SUCCESS,3,2,0.51,10.51,11.03
317,SUCCESS,3,3,0.11,10.92,11.03
271,SUCCESS,4,5,0.24,10.89,11.13
362,SUCCESS,3,1,0.22,10.92,11.14
