Cloudlet ID,STATUS,Data centerID,VM ID,Tim,Start Time,Finish Time
348,SUCCESS,5,7,0.26,10.94,11.2
373,SUCCESS,4,4,0.24,11,11.24
368,SUCCESS,4,6,0.48,10.76,11.24
323,SUCCESS,3,3,0.22,11.03,11.25
222,SUCCESS,5,8,0.37,10.94,11.31
379,SUCCESS,4,4,0.11,11.24,11.35
273,SUCCESS,4,5,0.22,11.13,11.35
328,SUCCESS,3,3,0.12,11.25,11.36
358,SUCCESS,5,7,0.22,11.2,11.42
390,SUCCESS,4,6,0.22,11.24,11.46
349,SUCCESS,3,2,0.45,11.03,11.47
366,SUCCESS,3,1,0.45,11.14,11.58
364,SUCCESS,3,2,0.11,11.47,11.58
333,SUCCESS,3,3,0.33,11.36,11.69
234,SUCCESS,5,8,0.41,11.31,11.72
385,SUCCESS,4,4,0.41,11.35,11.76
383,SUCCESS,3,1,0.22,11.58,11.8
370,SUCCESS,3,2,0.22,11.58,11.8
360,SUCCESS,5,7,0.41,11.42,11.83
173,SUCCESS,5,9,0.99,10.83,11.83
400,SUCCESS,4,4,0.11,11.76,11.87
281,SUCCESS,4,5,0.52,11.35,11.87
394,SUCCESS,4,6,0.41,11.46,11.87
371,SUCCESS,3,2,0.11,11.8,11.91
372,SUCCESS,5,7,0.15,11.83,11.97
410,SUCCESS,4,6,0.11,11.87,11.98
386,SUCCESS,3,1,0.22,11.8,12.02
376,SUCCESS,5,7,0.11,11.97,12.08
341,SUCCESS,3,3,0.44,11.69,12.13
401,SUCCESS,4,4,0.29,11.87,12.16
391,SUCCESS,3,1,0.22,12.02,12.24
411,SUCCESS,4,6,0.29,11.98,12.27
242,SUCCESS,5,8,0.63,11.72,12.35
380,SUCCESS,3,2,0.44,11.91,12.35
355,SUCCESS,3,3,0.22,12.13,12.35
295,SUCCESS,4,5,0.51,11.87,12.38
384,SUCCESS,5,7,0.38,12.08,12.46
399,SUCCESS,3,1,0.22,12.24,12.46
415,SUCCESS,4,4,0.33,12.16,12.49
422,SUCCESS,4,6,0.22,12.27,12.49
191,SUCCESS,5,9,0.74,11.83,12.57
407,SUCCESS,3,1,0.11,12.46,12.57
393,SUCCESS,3,2,0.22,12.35,12.57
429,SUCCESS,4,6,0.11,12.49,12.6
309,SUCCESS,4,5,0.33,12.38,12.71
392,SUCCESS,5,7,0.26,12.46,12.71
357,SUCCESS,3,3,0.44,12.35,12.8
425,SUCCESS,4,4,0.33,12.49,12.82
435,SUCCESS,4,6,0.22,12.6,12.82
198,SUCCESS,5,9,0.29,12.57,12.86
403,SUCCESS,3,2,0.35,12.57,12.92
257,SUCCESS,5,8,0.63,12.35,12.98
417,SUCCESS,3,1,0.46,12.57,13.03
402,SUCCESS,5,7,0.37,12.71,13.09
421,SUCCESS,3,2,0.23,12.92,13.16
315,SUCCESS,4,5,0.47,12.71,13.18
413,SUCCESS,5,7,0.11,13.09,13.2
424,SUCCESS,3,2,0.11,13.16,13.27
374,SUCCESS,3,3,0.47,12.8,13.27
437,SUCCESS,4,4,0.47,12.82,13.29
441,SUCCESS,4,6,0.47,12.82,13.29
206,SUCCESS,5,9,0.45,12.86,13.31
431,SUCCESS,3,1,0.34,13.03,13.38
388,SUCCESS,3,3,0.11,13.27,13.38
327,SUCCESS,4,5,0.22,13.18,13.4
428,SUCCESS,3,2,0.22,13.27,13.49
389,SUCCESS,3,3,0.11,13.38,13.49
456,SUCCESS,4,6,0.22,13.29,13.51
418,SUCCESS,5,7,0.33,13.2,13.53
454,SUCCESS,4,4,0.33,13.29,13.62
462,SUCCESS,4,6,0.11,13.51,13.62
272,SUCCESS,5,8,0.66,12.98,13.64
444,SUCCESS,3,1,0.27,13.38,13.65
464,SUCCESS,4,4,0.11,13.62,13.73
396,SUCCESS,3,3,0.34,13.49,13.82
430,SUCCESS,5,7,0.3,13.53,13.83
334,SUCCESS,4,5,0.44,13.4,13.84
466,SUCCESS,4,6,0.22,13.62,13.84
439,SUCCESS,3,2,0.45,13.49,13.93
406,SUCCESS,3,3,0.11,13.82,13.93
467,SUCCESS,4,4,0.22,13.73,13.95
475,SUCCESS,4,6,0.11,13.84,13.95
440,SUCCESS,5,7,0.14,13.83,13.97
452,SUCCESS,3,1,0.4,13.65,14.04
457,SUCCESS,3,2,0.11,13.93,14.04
342,SUCCESS,4,5,0.22,13.84,14.06
283,SUCCESS,5,8,0.44,13.64,14.08
480,SUCCESS,4,6,0.22,13.95,14.17
471,SUCCESS,3,1,0.13,14.04,14.18
446,SUCCESS,5,7,0.22,13.97,14.19
209,SUCCESS,5,9,0.88,13.31,14.19
477,SUCCESS,4,4,0.33,13.95,14.28
458,SUCCESS,3,2,0.24,14.04,14.29
489,SUCCESS,4,6,0.22,14.17,14.39
409,SUCCESS,3,3,0.48,13.93,14.42
226,SUCCESS,5,9,0.25,14.19,14.44
483,SUCCESS,4,4,0.22,14.28,14.5
347,SUCCESS,4,5,0.44,14.06,14.5
473,SUCCESS,3,1,0.35,14.18,14.53
451,SUCCESS,5,7,0.36,14.19,14.55
361,SUCCESS,4,5,0.11,14.5,14.61
426,SUCCESS,3,3,0.22,14.42,14.64
463,SUCCESS,5,7,0.11,14.55,14.66
495,SUCCESS,4,6,0.33,14.39,14.72
461,SUCCESS,3,2,0.46,14.29,14.75
293,SUCCESS,5,8,0.69,14.08,14.77
490,SUCCESS,4,4,0.36,14.5,14.86
487,SUCCESS,3,1,0.34,14.53,14.87
237,SUCCESS,5,9,0.44,14.44,14.88
363,SUCCESS,4,5,0.36,14.61,14.97
482,SUCCESS,3,2,0.23,14.75,14.98
469,SUCCESS,5,7,0.38,14.66,15.04
505,SUCCESS,4,4,0.22,14.86,15.08
501,SUCCESS,4,6,0.36,14.72,15.08
434,SUCCESS,3,3,0.45,14.64,15.09
307,SUCCESS,5,8,0.38,14.77,15.15
514,SUCCESS,4,6,0.11,15.08,15.19
504,SUCCESS,3,1,0.33,14.87,15.2
377,SUCCESS,4,5,0.33,14.97,15.3
492,SUCCESS,3,2,0.33,14.98,15.31
481,SUCCESS,5,7,0.3,15.04,15.34
512,SUCCESS,3,1,0.22,15.2,15.42
510,SUCCESS,4,4,0.37,15.08,15.45
519,SUCCESS,3,1,0.11,15.42,15.53
447,SUCCESS,3,3,0.44,15.09,15.53
524,SUCCESS,4,4,0.11,15.45,15.56
516,SUCCESS,4,6,0.37,15.19,15.56
239,SUCCESS,5,9,0.72,14.88,15.6
520,SUCCESS,3,1,0.11,15.53,15.64
532,SUCCESS,4,6,0.11,15.56,15.67
491,SUCCESS,5,7,0.37,15.34,15.71
310,SUCCESS,5,8,0.55,15.15,15.71
498,SUCCESS,3,2,0.44,15.31,15.75
525,SUCCESS,4,4,0.26,15.56,15.82
503,SUCCESS,5,7,0.15,15.71,15.85
468,SUCCESS,3,3,0.33,15.53,15.86
382,SUCCESS,4,5,0.63,15.3,15.93
526,SUCCESS,3,1,0.33,15.64,15.97
533,SUCCESS,4,6,0.37,15.67,16.04
513,SUCCESS,3,2,0.33,15.75,16.08
322,SUCCESS,5,8,0.39,15.71,16.1
537,SUCCESS,4,4,0.33,15.82,16.15
479,SUCCESS,3,3,0.33,15.86,16.19
506,SUCCESS,5,7,0.35,15.85,16.21
397,SUCCESS,4,5,0.34,15.93,16.27
534,SUCCESS,3,1,0.33,15.97,16.3
529,SUCCESS,3,2,0.22,16.08,16.3
517,SUCCESS,5,7,0.11,16.21,16.32
544,SUCCESS,4,6,0.34,16.04,16.38
485,SUCCESS,3,3,0.22,16.19,16.41
253,SUCCESS,5,9,0.84,15.6,16.44
547,SUCCESS,4,4,0.34,16.15,16.49
542,SUCCESS,3,1,0.25,16.3,16.54
554,SUCCESS,4,6,0.22,16.38,16.6
518,SUCCESS,5,7,0.3,16.32,16.61
530,SUCCESS,3,2,0.36,16.3,16.65
404,SUCCESS,4,5,0.45,16.27,16.72
332,SUCCESS,5,8,0.63,16.1,16.72
552,SUCCESS,3,1,0.22,16.54,16.76
494,SUCCESS,3,3,0.36,16.41,16.76
558,SUCCESS,4,4,0.34,16.49,16.83
556,SUCCESS,4,6,0.23,16.6,16.83
266,SUCCESS,5,9,0.39,16.44,16.83
539,SUCCESS,3,2,0.26,16.65,16.91
502,SUCCESS,3,3,0.15,16.76,16.91
535,SUCCESS,5,7,0.33,16.61,16.94
564,SUCCESS,4,6,0.12,16.83,16.95
555,SUCCESS,3,1,0.26,16.76,17.03
573,SUCCESS,4,6,0.14,16.95,17.09
567,SUCCESS,3,1,0.11,17.03,17.14
277,SUCCESS,5,9,0.31,16.83,17.14
568,SUCCESS,4,4,0.38,16.83,17.2
419,SUCCESS,4,5,0.49,16.72,17.2
578,SUCCESS,4,6,0.11,17.09,17.2
538,SUCCESS,5,7,0.35,16.94,17.29
344,SUCCESS,5,8,0.57,16.72,17.29
548,SUCCESS,3,2,0.41,16.91,17.33
582,SUCCESS,4,6,0.18,17.2,17.39
572,SUCCESS,3,1,0.3,17.14,17.44
566,SUCCESS,3,2,0.11,17.33,17.44
508,SUCCESS,3,3,0.52,16.91,17.44
584,SUCCESS,4,4,0.31,17.2,17.51
585,SUCCESS,3,1,0.11,17.44,17.55
570,SUCCESS,3,2,0.11,17.44,17.55
550,SUCCESS,5,7,0.32,17.29,17.61
432,SUCCESS,4,5,0.42,17.2,17.62
591,SUCCESS,4,6,0.23,17.39,17.62
350,SUCCESS,5,8,0.43,17.29,17.72
594,SUCCESS,4,4,0.22,17.51,17.73
590,SUCCESS,3,1,0.21,17.55,17.75
599,SUCCESS,4,4,0.11,17.73,17.84
448,SUCCESS,4,5,0.22,17.62,17.84
521,SUCCESS,3,3,0.43,17.44,17.86
280,SUCCESS,5,9,0.74,17.14,17.89
595,SUCCESS,4,6,0.33,17.62,17.95
596,SUCCESS,3,1,0.22,17.75,17.97
574,SUCCESS,3,2,0.43,17.55,17.97
563,SUCCESS,5,7,0.42,17.61,18.04
536,SUCCESS,3,3,0.34,17.86,18.2
365,SUCCESS,5,8,0.51,17.72,18.24
587,SUCCESS,3,2,0.35,17.97,18.33
449,SUCCESS,4,5,0.5,17.84,18.34
583,SUCCESS,5,7,0.31,18.04,18.35
291,SUCCESS,5,9,0.46,17.89,18.35
375,SUCCESS,5,8,0.22,18.24,18.46
545,SUCCESS,3,3,0.35,18.2,18.55
297,SUCCESS,5,9,0.22,18.35,18.57
459,SUCCESS,4,5,0.26,18.34,18.6
598,SUCCESS,3,2,0.4,18.33,18.72
470,SUCCESS,4,5,0.13,18.6,18.73
589,SUCCESS,5,7,0.44,18.35,18.79
559,SUCCESS,3,3,0.28,18.55,18.83
378,SUCCESS,5,8,0.44,18.46,18.9
472,SUCCESS,4,5,0.34,18.73,19.07
387,SUCCESS,5,8,0.33,18.9,19.22
561,SUCCESS,3,3,0.42,18.83,19.25
301,SUCCESS,5,9,0.77,18.57,19.34
484,SUCCESS,4,5,0.41,19.07,19.47
581,SUCCESS,3,3,0.43,19.25,19.68
398,SUCCESS,5,8,0.57,19.22,19.79
499,SUCCESS,4,5,0.34,19.47,19.82
313,SUCCESS,5,9,0.56,19.34,19.9
592,SUCCESS,3,3,0.35,19.68,20.03
408,SUCCESS,5,8,0.26,19.79,20.05
412,SUCCESS,5,8,0.11,20.05,20.16
320,SUCCESS,5,9,0.37,19.9,20.27
507,SUCCESS,4,5,0.48,19.82,20.3
416,SUCCESS,5,8,0.22,20.16,20.38
522,SUCCESS,4,5,0.24,20.3,20.54
420,SUCCESS,5,8,0.18,20.38,20.55
427,SUCCESS,5,8,0.34,20.55,20.89
528,SUCCESS,4,5,0.44,20.54,20.97
330,SUCCESS,5,9,0.74,20.27,21
336,SUCCESS,5,9,0.16,21,21.17
433,SUCCESS,5,8,0.38,20.89,21.28
540,SUCCESS,4,5,0.49,20.97,21.47
438,SUCCESS,5,8,0.33,21.28,21.6
551,SUCCESS,4,5,0.37,21.47,21.84
443,SUCCESS,5,8,0.27,21.6,21.87
562,SUCCESS,4,5,0.14,21.84,21.98
453,SUCCESS,5,8,0.23,21.87,22.1
339,SUCCESS,5,9,1.04,21.17,22.21
565,SUCCESS,4,5,0.25,21.98,22.23
460,SUCCESS,5,8,0.22,22.1,22.32
575,SUCCESS,4,5,0.11,22.23,22.34
577,SUCCESS,4,5,0.11,22.34,22.45
580,SUCCESS,4,5,0.17,22.45,22.62
465,SUCCESS,5,8,0.64,22.32,22.96
353,SUCCESS,5,9,0.75,22.21,22.96
588,SUCCESS,4,5,0.55,22.62,23.17
478,SUCCESS,5,8,0.27,22.96,23.24
369,SUCCESS,5,9,0.56,22.96,23.52
600,SUCCESS,4,5,0.43,23.17,23.6
488,SUCCESS,5,8,0.4,23.24,23.64
496,SUCCESS,5,8,0.24,23.64,23.88
381,SUCCESS,5,9,0.86,23.52,24.38
500,SUCCESS,5,8,0.61,23.88,24.49
395,SUCCESS,5,9,0.64,24.38,25.03
511,SUCCESS,5,8,0.64,24.49,25.14
405,SUCCESS,5,9,0.47,25.03,25.5
527,SUCCESS,5,8,0.7,25.14,25.84
414,SUCCESS,5,9,0.45,25.5,25.95
541,SUCCESS,5,8,0.32,25.84,26.16
546,SUCCESS,5,8,0.58,26.16,26.74
423,SUCCESS,5,9,0.9,25.95,26.85
560,SUCCESS,5,8,0.37,26.74,27.11
436,SUCCESS,5,9,0.37,26.85,27.22
442,SUCCESS,5,9,0.23,27.22,27.45
445,SUCCESS,5,9,0.27,27.45,27.72
571,SUCCESS,5,8,0.72,27.11,27.83
450,SUCCESS,5,9,0.22,27.72,27.94
586,SUCCESS,5,8,0.59,27.83,28.42
455,SUCCESS,5,9,0.94,27.94,28.87
597,SUCCESS,5,8,0.57,28.42,28.98
474,SUCCESS,5,9,0.22,28.87,29.09
476,SUCCESS,5,9,0.44,29.09,29.53
486,SUCCESS,5,9,0.46,29.53,29.99
493,SUCCESS,5,9,0.3,29.99,30.28
497,SUCCESS,5,9,0.56,30.28,30.85
509,SUCCESS,5,9,0.42,30.85,31.27
515,SUCCESS,5,9,0.24,31.27,31.5
523,SUCCESS,5,9,0.56,31.5,32.07
531,SUCCESS,5,9,0.81,32.07,32.88
543,SUCCESS,5,9,0.55,32.88,33.43
549,SUCCESS,5,9,0.11,33.43,33.54
553,SUCCESS,5,9,0.45,33.54,33.99
557,SUCCESS,5,9,0.43,33.99,34.41
569,SUCCESS,5,9,0.19,34.41,34.6
576,SUCCESS,5,9,0.38,34.6,34.99
579,SUCCESS,5,9,0.57,34.99,35.56
593,SUCCESS,5,9,0.72,35.56,36.28
